attributes,Id,LastModifiedBy,MemberIdOrName,MemberType,MemberName,RevisionNum,RevisionCounter,IsNameObsolete,LastModifiedById,IsNewMember,ChangedBy
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiOGAQ'}",0MZ6t0000055tiOGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxxAAB,ApexClass,APM_GenericShare_ServiceLayerHandler,,11639,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiQGAQ'}",0MZ6t0000055tiQGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxxzAAB,ApexClass,APM_GenericShare_Utility,,11641,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiRGAQ'}",0MZ6t0000055tiRGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000Yuxy0AAB,ApexClass,APM_GenericShare_UtilityTest,,39716,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiVGAQ'}",0MZ6t0000055tiVGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000Yuxy3AAB,ApexClass,APM_InitiativeRecordEditController,,11646,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiWGAQ'}",0MZ6t0000055tiWGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000Yuxy4AAB,ApexClass,APM_InitiativeRecordEditControllerTest,,11647,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiaGAA'}",0MZ6t0000055tiaGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyEAAR,ApexClass,APM_Snapshot_Batch,,11651,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tibGAA'}",0MZ6t0000055tibGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyFAAR,ApexClass,APM_Snapshot_BatchSchedulerInitiative,,11652,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055ticGAA'}",0MZ6t0000055ticGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyGAAR,ApexClass,APM_Snapshot_BatchTest,,11653,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tidGAA'}",0MZ6t0000055tidGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyHAAR,ApexClass,APM_Snapshot_FlowController,,11654,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tieGAA'}",0MZ6t0000055tieGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyIAAR,ApexClass,APM_Snapshot_FlowControllerTest,,11655,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tifGAA'}",0MZ6t0000055tifGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyJAAR,ApexClass,APM_Snapshot_IBusinessLayer,,11656,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tigGAA'}",0MZ6t0000055tigGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyKAAR,ApexClass,APM_Snapshot_ServiceLayerHandler,,11657,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiiGAA'}",0MZ6t0000055tiiGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyMAAR,ApexClass,APM_Snapshot_Utility,,11659,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tijGAA'}",0MZ6t0000055tijGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyNAAR,ApexClass,APM_Snapshot_Wrapper,,11660,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tioGAA'}",0MZ6t0000055tioGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyOAAR,ApexClass,APM_TaskBatch,,11665,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tipGAA'}",0MZ6t0000055tipGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyPAAR,ApexClass,APM_TaskBatchTest,,11666,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tirGAA'}",0MZ6t0000055tirGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyRAAR,ApexClass,APM_TaskTriggerHandlerTest,,16008,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tisGAA'}",0MZ6t0000055tisGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxySAAR,ApexClass,APM_TaskTriggerUtility,,11669,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tiuGAA'}",0MZ6t0000055tiuGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyUAAR,ApexClass,APM_Task_IBusinessLayer,,11671,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tivGAA'}",0MZ6t0000055tivGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyVAAR,ApexClass,APM_Task_ServiceLayerHandler,,11672,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tixGAA'}",0MZ6t0000055tixGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p5e00000YuxyYAAR,ApexClass,APM_Wizard_Utility,,11674,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tizGAA'}",0MZ6t0000055tizGAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNJAA4,ApexClass,AcceptRejectGetFieldsController,,11676,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tj7GAA'}",0MZ6t0000055tj7GAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNRAA4,ApexClass,AccountEngagementInsightsWrapper,,11684,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tj8GAA'}",0MZ6t0000055tj8GAA,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNSAA4,ApexClass,AccountInsightTaskDataProvider,,57407,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tjDGAQ'}",0MZ6t0000055tjDGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNXAA4,ApexClass,AccountOwnerChangeBatchScheduler,,11690,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tjLGAQ'}",0MZ6t0000055tjLGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNfAAO,ApexClass,ActivityServiceHandler,,11698,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tjMGAQ'}",0MZ6t0000055tjMGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNgAAO,ApexClass,ActivityServiceHandlerTest,,11699,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tjNGAQ'}",0MZ6t0000055tjNGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNhAAO,ApexClass,ActivityTaskCountServiceHandler,,11700,False,0055e000006hNmLAAU,False,0055e000006hNmL
"{'type': 'SourceMember', 'url': '/services/data/v60.0/tooling/sobjects/SourceMember/0MZ6t0000055tjPGAQ'}",0MZ6t0000055tjPGAQ,"{'attributes': {'type': 'User', 'url': '/services/data/v60.0/tooling/sobjects/User/0055e000006hNmLAAU'}, 'Name': 'Satish Hale'}",01p6t000003YBNjAAO,ApexClass,AdditionalDataWrapper,,11702,False,0055e000006hNmLAAU,False,0055e000006hNmL
